EP011949, UNNAMED,7,,,,,,,,,,,,,,,,,,
19500819,0,, HU,22.5N,167.4W,75,,,,,,,,,,,,,,
19500819,600,, HU,22.6N,168.7W,75,,,,,,,,,,,,,,
19500819,1200,, HU,22.7N,169.7W,75,,,,,,,,,,,,,,
19500819,1800,, TS,23.2N,170.4W,45,,,,,,,,,,,,,,
19500820,0,, TS,23.6N,171.5W,45,,,,,,,,,,,,,,
19500820,600,, TS,24.1N,172.4W,45,,,,,,,,,,,,,,
19500820,1200,, TS,24.7N,173.7W,45,,,,,,,,,,,,,,
19500820,1800,, TS,25.3N,174.3W,45,,,,,,,,,,,,,,
19500821,0,, TS,26.0N,175.7W,45,,,,,,,,,,,,,,
19500821,600,, TS,26.7N,176.9W,45,,,,,,,,,,,,,,
19500821,1200,, TD,27.4N,178.0W,25,,,,,,,,,,,,,,
EP041950, UNNAMED,5,,,,,,,,,,,,,,,,,,
19500812,1200,, TS,17.5N,116.8W,45,,,,,,,,,,,,,,
19500812,1800,, TS,17.7N,116.8W,45,,,,,,,,,,,,,,
19500813,0,, TD,18.0N,117.1W,25,,,,,,,,,,,,,,
19500813,600,, TD,18.4N,117.7W,25,,,,,,,,,,,,,,
19500813,1200,, TD,18.8N,118.7W,25,,,,,,,,,,,,,,
EP051950, UNNAMED,17,,,,,,,,,,,,,,,,,,
19500826,1200,, HU,17.3N,131.5W,75,,,,,,,,,,,,,,
19500826,1800,, HU,17.7N,132.4W,75,,,,,,,,,,,,,,
19500827,0,, HU,17.9N,133.2W,75,,,,,,,,,,,,,,
19500827,600,, HU,17.9N,133.8W,75,,,,,,,,,,,,,,
19500827,1200,, HU,18.0N,134.4W,75,,,,,,,,,,,,,,
19500827,1800,, HU,18.1N,135.1W,75,,,,,,,,,,,,,,
19500828,0,, HU,18.3N,135.8W,75,,,,,,,,,,,,,,
19500828,600,, HU,18.5N,136.4W,75,,,,,,,,,,,,,,
19500828,1200,, HU,18.6N,137.0W,75,,,,,,,,,,,,,,
19500828,1800,, HU,18.7N,137.5W,75,,,,,,,,,,,,,,
19500829,0,, HU,18.8N,138.1W,75,,,,,,,,,,,,,,
19500829,600,, HU,18.9N,138.8W,75,,,,,,,,,,,,,,
19500829,1200,, HU,19.0N,139.6W,75,,,,,,,,,,,,,,
19500829,1800,, HU,19.1N,140.3W,75,,,,,,,,,,,,,,
19500830,0,, HU,19.3N,141.1W,75,,,,,,,,,,,,,,
19500830,600,, HU,19.5N,142.0W,75,,,,,,,,,,,,,,
19500830,1200,, HU,19.7N,143.0W,75,,,,,,,,,,,,,,
EP061950, UNNAMED,9,,,,,,,,,,,,,,,,,,
19501001,1200,, HU,14.0N,108.7W,75,,,,,,,,,,,,,,
19501001,1800,, HU,14.7N,109.0W,75,,,,,,,,,,,,,,
19501002,0,, HU,15.2N,109.4W,75,,,,,,,,,,,,,,
19501002,600,, HU,15.4N,109.7W,75,,,,,,,,,,,,,,
19501002,1200,, HU,15.6N,110.0W,75,,,,,,,,,,,,,,
19501002,1800,, HU,15.9N,110.4W,75,,,,,,,,,,,,,,
19501003,0,, HU,16.2N,110.9W,75,,,,,,,,,,,,,,
19501003,600,, HU,16.5N,111.4W,75,,,,,,,,,,,,,,
19501003,1200,, HU,16.9N,111.9W,75,,,,,,,,,,,,,,
EP011951, UNNAMED,15,,,,,,,,,,,,,,,,,,
19510517,1200,, TS,11.0N,104.4W,45,,,,,,,,,,,,,,
19510517,1800,, TS,11.5N,104.3W,45,,,,,,,,,,,,,,
19510518,0,, TS,12.1N,104.1W,45,,,,,,,,,,,,,,
19510518,600,, TS,12.8N,103.9W,45,,,,,,,,,,,,,,
19510518,1200,, TS,13.6N,103.8W,45,,,,,,,,,,,,,,
19510518,1800,, TS,14.3N,103.6W,45,,,,,,,,,,,,,,
19510519,0,, TS,15.0N,103.3W,45,,,,,,,,,,,,,,
19510519,600,, TS,15.5N,103.1W,45,,,,,,,,,,,,,,
19510519,1200,, TS,15.9N,103.0W,45,,,,,,,,,,,,,,
19510519,1800,, TS,16.4N,102.9W,45,,,,,,,,,,,,,,
19510520,0,, TS,16.9N,102.8W,45,,,,,,,,,,,,,,
19510520,600,, TS,17.4N,102.6W,45,,,,,,,,,,,,,,
19510520,1200,, TS,17.8N,102.4W,45,,,,,,,,,,,,,,
19510520,1800,, TS,18.1N,102.0W,45,,,,,,,,,,,,,,
19510521,0,, TS,18.3N,101.4W,45,,,,,,,,,,,,,,
EP021951, UNNAMED,5,,,,,,,,,,,,,,,,,,
19510601,0,, HU,13.8N,95.7W,75,,,,,,,,,,,,,,
19510601,600,, HU,14.7N,97.4W,75,,,,,,,,,,,,,,
19510601,1200,, HU,15.6N,98.8W,75,,,,,,,,,,,,,,
19510601,1800,, HU,16.7N,99.9W,75,,,,,,,,,,,,,,
19510602,0,, HU,17.8N,100.5W,75,,,,,,,,,,,,,,
EP031951, UNNAMED,5,,,,,,,,,,,,,,,,,,
19510626,1200,, TS,16.7N,100.8W,45,,,,,,,,,,,,,,
19510626,1800,, TS,16.9N,101.5W,45,,,,,,,,,,,,,,
19510627,0,, TS,17.0N,102.2W,45,,,,,,,,,,,,,,
19510627,600,, TS,17.1N,103.0W,45,,,,,,,,,,,,,,
19510627,1200,, TS,17.2N,103.8W,45,,,,,,,,,,,,,,
EP041951, UNNAMED,5,,,,,,,,,,,,,,,,,,
19510705,1200,, TS,16.7N,104.1W,45,,,,,,,,,,,,,,
19510705,1800,, TS,17.2N,105.0W,45,,,,,,,,,,,,,,
19510706,0,, TS,17.8N,105.8W,45,,,,,,,,,,,,,,
19510706,600,, TS,18.4N,106.4W,45,,,,,,,,,,,,,,
19510706,1200,, TS,19.0N,106.9W,45,,,,,,,,,,,,,,
EP051951, UNNAMED,29,,,,,,,,,,,,,,,,,,
19510803,1200,, TS,10.6N,94.5W,45,,,,,,,,,,,,,,
19510803,1800,, TS,11.0N,95.4W,45,,,,,,,,,,,,,,
19510804,0,, TS,11.5N,96.2W,45,,,,,,,,,,,,,,
19510804,600,, TS,11.9N,96.9W,45,,,,,,,,,,,,,,
19510804,1200,, TS,12.3N,97.7W,45,,,,,,,,,,,,,,
19510804,1800,, TS,12.5N,98.7W,45,,,,,,,,,,,,,,
19510805,0,, TS,12.7N,100.1W,45,,,,,,,,,,,,,,
